table with row headers in column A and column headers in rows 3 through 4,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2021 Population: April 1, 2020 to July 1, 2021",,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),
,,,2020,2021
1,"New York, New York","8,804,190","8,772,978","8,467,513"
2,"Los Angeles, California","3,893,986","3,889,834","3,849,297"
3,"Chicago, Illinois","2,747,231","2,741,730","2,696,555"
4,"Houston, Texas","2,302,792","2,300,027","2,288,250"
5,"Phoenix, Arizona","1,607,739","1,611,345","1,624,569"
6,"Philadelphia, Pennsylvania","1,603,797","1,601,005","1,576,251"
7,"San Antonio, Texas","1,434,270","1,438,227","1,451,853"
8,"San Diego, California","1,385,922","1,385,394","1,381,611"
9,"Dallas, Texas","1,304,442","1,303,234","1,288,457"
10,"San Jose, California","1,014,545","1,010,908","983,489"
11,"Austin, Texas","959,549","963,121","964,177"
12,"Jacksonville, Florida","949,577","950,463","954,614"
13,"Fort Worth, Texas","918,377","922,592","935,508"
14,"Columbus, Ohio","905,672","905,860","906,528"
15,"Indianapolis, Indiana","887,752","887,382","882,039"
16,"Charlotte, North Carolina","874,541","876,747","879,709"
17,"San Francisco, California","873,965","870,014","815,201"
18,"Seattle, Washington","735,157","738,172","733,919"
19,"Denver, Colorado","715,522","717,630","711,463"
20,"Oklahoma, Oklahoma","681,387","682,760","687,725"
21,"Nashville, Tennessee","689,504","689,248","678,851"
22,"El Paso, Texas","678,587","678,598","678,415"
23,"Washington, District of Columbia","689,545","690,093","670,050"
24,"Boston, Massachusetts","676,216","674,272","654,776"
25,"Las Vegas, Nevada","641,825","643,292","646,790"
26,"Portland, Oregon","652,089","652,388","641,162"
27,"Detroit, Michigan","639,614","638,176","632,464"
28,"Louisville, Kentucky","632,689","632,037","628,594"
29,"Memphis, Tennessee","632,207","631,326","628,127"
30,"Baltimore, Maryland","585,708","583,132","576,498"
31,"Milwaukee, Wisconsin","577,235","576,301","569,330"
32,"Albuquerque, New Mexico","564,563","564,648","562,599"
