,Total population,Male,25 to 34 years,35 to 44 years,45 to 54 years,PrimeAge,65 to 74 years,75 to 84 years,85 years and over,Senior,MedianAge,White,Black,AmInd,Asian,Hispanic
Alabama,4997675,2429703,647247,615110,633931,1896288,511902,248809,83716,844427,39.3,3338590,1324233,21661,70161,224659
Alaska,735951,384749,116525,96664,87719,300908,61465,22095,6628,90188,35.0,458520,23721,107531,47213,53604
Arizona,7079203,3533895,966670,882914,838963,2688547,731373,379268,133218,1243859,38.1,4985729,318827,300862,234495,2257429
Arkansas,3006309,1483520,388499,376431,364713,1129643,300307,150237,54817,505361,38.3,2227020,458086,17459,46388,236001
California,39455353,19714044,5941622,5341049,5043403,16326074,3363447,1581471,724961,5669879,37.0,20553732,2233258,360607,5887396,15593787
Colorado,5723176,2895936,889933,805249,712196,2407378,518368,212622,88264,819254,37.1,4507448,234065,53143,183391,1254636
Connecticut,3605330,1768860,445861,439098,488283,1373242,357409,173149,89621,620179,41.0,2595884,389290,8714,167308,610065
Delaware,981892,477219,127878,115773,121235,364886,113956,53708,18711,186375,41.1,645409,215745,3064,39684,95278
District of Columbia,683154,325490,155714,106798,73601,336113,48972,23968,10259,83199,34.3,276373,305109,1984,27988,76982
Florida,21339762,10489548,2742442,2626930,2735230,8104602,2442673,1359110,545182,4346965,42.3,14449017,3358469,54466,596862,5593090
Georgia,10625615,5191616,1461985,1408856,1410815,4281656,924763,408963,146106,1479832,37.1,5934931,3350903,34928,448181,1048474
Hawaii,1453498,732172,202540,188445,175158,566143,155654,73914,39221,268789,39.6,344295,28142,4286,544643,158741
Idaho,1811617,912529,235303,233188,207825,676316,178019,80285,28794,287098,36.8,1567799,12242,22799,24616,234561
Illinois,12821813,6332176,1751542,1676721,1640483,5068746,1190287,567251,255197,2012735,38.5,8699413,1804013,42714,725482,2250076
Indiana,6751340,3344360,878932,843453,838946,2561331,636561,293573,127413,1057547,37.9,5483296,635076,11399,163657,494408
Iowa,3179090,1590001,394731,392662,371831,1159224,313218,153189,74135,540542,38.3,2795319,119036,10889,79188,203048
Kansas,2932099,1468152,377981,366623,337255,1081859,273373,128191,62464,464028,37.0,2386766,165291,21657,87946,362053
Kentucky,4494141,2223783,581740,560926,573036,1715702,450280,209934,74637,734851,39.0,3842383,361703,7114,68737,174359
Louisiana,4657305,2283561,647235,601213,555655,1804103,443472,200049,78925,722446,37.4,2805875,1486002,25550,80438,248782
Maine,1357046,668308,162251,158307,179107,499665,171259,77635,31927,280821,44.7,1261097,19525,7578,14917,24526
Maryland,6148545,2995146,829899,805385,820246,2455530,569778,266730,113382,949890,38.9,3238671,1833987,17266,397087,650357
Massachusetts,6991852,3413174,990623,873396,919430,2783449,682920,314284,158827,1156031,39.6,5211704,511394,14939,480944,864202
