5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
30074,3074,Harford County Maryland,Active,Reduced Reporter,169,Aberdeen-Bel Air South-Bel Air North MD,DR,DO,30991,32126,37363,37648,40522,32527,30050,25155,26642,37877,49934,43591,19249,0,0,0,0,0,0,0,0
30074,3074,Harford County Maryland,Active,Reduced Reporter,169,Aberdeen-Bel Air South-Bel Air North MD,MB,DO,175451,198075,212805,228826,256269,265020,280426,269500,266295,300385,315363,326295,145634,0,0,0,0,0,0,0,0
60040,6040,City of Abilene ,Active,Reduced Reporter,282,Abilene TX,DR,DO,107144,108367,111455,111675,110152,109977,102963,105199,103985,103130,0,0,0,0,0,0,0,0,0,0,0
60040,6040,City of Abilene ,Active,Reduced Reporter,282,Abilene TX,MB,DO,493073,475747,469981,507165,493638,490254,473528,478743,456753,472931,0,0,0,0,0,0,0,0,0,0,0
50010,5010,METRO Regional Transit Authority,Inactive,Full Reporter,71,Akron OH,CB,DO,0,0,0,0,0,0,0,0,0,0,89699,106203,103451,106287,100779,0,0,0,0,0,0
50010,5010,METRO Regional Transit Authority,Active,Full Reporter,71,Akron OH,DR,DO,237494,225720,168685,157483,132343,163302,175437,172799,164836,170976,202390,238914,254440,268843,267964,265833,203435,209585,122526,125133,72443
50010,5010,METRO Regional Transit Authority,Active,Full Reporter,71,Akron OH,DR,PT,158048,129563,86588,64453,53034,52324,64003,64971,68659,0,0,0,0,0,0,0,67380,66876,48815,48377,32838
50010,5010,METRO Regional Transit Authority,Inactive,Full Reporter,71,Akron OH,DR,TX,0,0,0,0,0,0,0,0,0,72183,39890,0,0,0,0,0,0,0,0,0,0
50010,5010,METRO Regional Transit Authority,Active,Full Reporter,71,Akron OH,MB,DO,5723964,5855149,5721408,5565016,5611492,5266215,5503179,4790095,4813227,5044830,5140419,5082892,5100392,4946568,4807620,4885178,4872140,5141660,3093230,2872167,1595478
50021,5021,Portage Area Regional Transportation Authority,Active,Full Reporter,71,Akron OH,DR,DO,100758,108359,136034,156613,156455,136684,118621,121613,120589,117546,119789,116150,105681,107331,106309,89874,82666,75344,40670,40212,24182
50021,5021,Portage Area Regional Transportation Authority,Active,Full Reporter,71,Akron OH,MB,DO,65762,122365,822474,1096866,1113663,1235110,1299113,1370151,1408738,1445646,1412426,1431131,1421638,1432439,1185480,1164796,1140362,1080782,397309,344367,252627
20002,2002,Capital District Transportation Authority,Active,Full Reporter,67,Albany-Schenectady NY,CB,PT,0,0,0,0,0,0,0,0,0,0,0,195837,190087,182123,151345,167371,179580,184127,53135,36790,14204
20002,2002,Capital District Transportation Authority,Active,Full Reporter,67,Albany-Schenectady NY,DR,DO,97319,122186,139501,152833,112462,104925,114901,128906,134480,136883,132980,108463,105125,112399,156088,134940,123674,143691,110511,90882,19607
20002,2002,Capital District Transportation Authority,Inactive,Full Reporter,67,Albany-Schenectady NY,DR,PT,0,0,0,17415,46179,81275,98955,93173,100802,0,0,0,0,0,0,0,0,0,0,0,0
20002,2002,Capital District Transportation Authority,Active,Full Reporter,67,Albany-Schenectady NY,DR,TX,0,0,0,0,0,0,0,0,0,112313,143204,186267,180459,177614,146869,159100,184483,199476,112727,179285,52443
20002,2002,Capital District Transportation Authority,Active,Full Reporter,67,Albany-Schenectady NY,MB,DO,11500800,11364952,11086318,12101157,12449212,12965635,14808513,13695885,13382569,14016435,15051899,15856940,16418498,16410517,16363950,16189182,15176207,14970611,10723610,10655274,2764063
20002,2002,Capital District Transportation Authority,Inactive,Full Reporter,67,Albany-Schenectady NY,MB,PT,129274,166224,277273,269365,286839,215045,238133,194353,176314,159571,161341,0,0,0,0,0,0,0,0,0,0
20002,2002,Capital District Transportation Authority,Active,Full Reporter,67,Albany-Schenectady NY,VP,PT,0,0,0,0,0,0,0,743,14531,27069,9170,11696,13525,15430,23826,27908,32395,57315,58258,77556,20410
40021,4021,City of Albany ,Active,Full Reporter,309,Albany GA,DR,DO,32082,29598,29006,25628,23487,21348,19959,16018,12154,10360,10393,13066,14805,14593,13816,13111,15808,19589,15897,15474,3864
40021,4021,City of Albany ,Active,Full Reporter,309,Albany GA,MB,DO,628324,670941,666328,653876,762810,767414,880864,871177,900406,985863,1017648,1017015,883094,695011,655363,723013,739896,750571,491723,324077,21813
60019,6019,City of Albuquerque,Active,Full Reporter,56,Albuquerque NM,DR,DO,180777,180125,170981,174394,188558,193678,195116,200428,229230,234387,243946,241499,250882,251646,264317,265218,262084,255423,109658,125518,94391
60019,6019,City of Albuquerque,Active,Full Reporter,56,Albuquerque NM,MB,DO,7159620,6620336,6604625,7758914,9072409,9791599,10942102,10639235,11527241,12373445,13003221,12959144,12883658,11795088,10901920,9684678,9571883,8792600,3946681,3058404,2137967
60019,6019,City of Albuquerque,Active,Full Reporter,56,Albuquerque NM,RB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218341,1131046,1338076,1006443
60111,6111,Rio Metro Regional Transit District,Inactive,Full Reporter,56,Albuquerque NM,CB,DO,0,0,0,0,0,0,0,0,0,0,998,2796,2148,4368,4181,3196,8017,4463,0,0,0
60111,6111,Rio Metro Regional Transit District,Active,Full Reporter,56,Albuquerque NM,CB,PT,0,0,0,0,0,0,0,0,0,0,23049,65381,66136,58229,54405,50997,52278,48512,14619,13337,16837
60111,6111,Rio Metro Regional Transit District,Active,Full Reporter,56,Albuquerque NM,CR,PT,0,0,0,0,0,0,0,1351087,1165687,1242174,1129303,1082588,1063217,931324,851409,811421,771602,744050,143462,186595,215023
60111,6111,Rio Metro Regional Transit District,Active,Full Reporter,56,Albuquerque NM,DR,DO,0,0,0,0,0,0,0,0,9107,18830,30749,66641,68791,66867,66110,67987,66211,64527,30394,35489,23894
60111,6111,Rio Metro Regional Transit District,Inactive,Full Reporter,56,Albuquerque NM,DR,TX,0,0,0,0,0,0,0,0,0,0,9036,19792,20420,16891,15976,9752,3601,0,0,0,0
60111,6111,Rio Metro Regional Transit District,Active,Full Reporter,56,Albuquerque NM,MB,DO,0,0,0,0,0,0,0,0,0,0,2148,10420,8585,8417,7527,5729,6563,13601,10029,6864,6718
60111,6111,Rio Metro Regional Transit District,Inactive,Full Reporter,56,Albuquerque NM,MB,PT,0,0,0,0,0,0,0,0,0,2223,0,0,0,0,0,0,0,0,0,0,0
60025,6025,City of Alexandria,Active,Reduced Reporter,346,Alexandria LA,DR,DO,13919,14397,15333,14544,6492,12648,12953,13355,13005,13253,0,0,0,0,0,0,0,0,0,0,0
60025,6025,City of Alexandria,Active,Reduced Reporter,346,Alexandria LA,MB,DO,627377,550436,564069,564826,286798,703757,721983,777416,714922,656467,0,0,0,0,0,0,0,0,0,0,0
30010,3010,Lehigh and Northampton Transportation Authority,Active,Full Reporter,61,Allentown PA-NJ,DR,PT,490438,485564,482778,478215,494384,456765,338013,440354,435933,431700,420164,427369,414241,420507,442779,446976,371006,347033,167035,170259,106116
30010,3010,Lehigh and Northampton Transportation Authority,Active,Full Reporter,61,Allentown PA-NJ,MB,DO,4305607,4272188,4555890,4932680,5282545,4972842,4180084,5432467,5066051,5567851,4797241,5058668,5041068,4910329,4779100,4573599,4406952,4373097,2891706,2600736,1653226
30010,3010,Lehigh and Northampton Transportation Authority,Inactive,Full Reporter,61,Allentown PA-NJ,MB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944,5290,3480,955,0,0
30011,3011,Altoona Metro Transit,Active,Full Reporter,359,Altoona PA,DR,DO,684,556,418,599,688,746,592,555,446,325,238,315,285,372,199,274,316,223,99,59,18
30011,3011,Altoona Metro Transit,Active,Full Reporter,359,Altoona PA,DR,PT,0,7633,7748,8480,9160,10237,11807,11306,11661,11649,12179,12129,12722,13298,12720,12164,11787,9392,5284,5120,2406
30011,3011,Altoona Metro Transit,Active,Full Reporter,359,Altoona PA,MB,DO,496916,692488,661909,661609,694454,607695,586804,593547,712712,689116,687954,659876,609471,579580,576620,546149,544498,551741,349042,371102,214390
30011,3011,Altoona Metro Transit,Inactive,Full Reporter,359,Altoona PA,MB,PT,0,0,0,1822,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001,6001,City of Amarillo,Active,Reduced Reporter,182,Amarillo TX,DR,DO,21973,24275,27010,29172,28525,28754,29640,28145,30800,36306,40404,39634,33013,0,0,0,0,0,0,0,0
60001,6001,City of Amarillo,Active,Reduced Reporter,182,Amarillo TX,MB,DO,230654,336178,344104,360423,361460,366717,338386,332948,338316,373069,383079,374329,269168,0,0,0,0,0,0,0,0
70041,7041,Ames Transit Agency,Inactive,Full Reporter,445,Ames IA,DR,DO,0,968,0,0,0,0,10672,10558,8823,9587,10447,9506,11405,6037,0,0,0,0,0,0,0
70041,7041,Ames Transit Agency,Inactive,Full Reporter,445,Ames IA,DR,PT,0,14891,11542,10518,10881,11178,0,0,0,0,0,0,0,5673,10687,9327,8342,4454,0,0,0
70041,7041,Ames Transit Agency,Active,Full Reporter,445,Ames IA,MB,DO,0,4848494,4529451,4177180,4244428,4471336,4737992,5258530,5348981,5587101,5774124,6250952,6777675,6704537,6708382,6453494,6194467,5704328,2534349,2792048,1849922
70041,7041,Ames Transit Agency,Inactive,Full Reporter,445,Ames IA,MB,PT,0,0,0,0,0,0,0,15078,10961,11196,9450,8293,6253,4352,5398,128416,257563,121345,0,0,0
