Label,totGroupQuarters,totInst,correcAdult,juvFacil,nursing,otherInst,totNoninst,collegeHousing,militaryQuarters,otherNoninst
Alabama,127934,70648,39749,1479,27869,1551,57286,45489,1079,10718
Alaska,30291,7177,4842,457,1781,97,23114,1472,5836,15806
Arizona,160269,89904,64154,2331,21938,1481,70365,38945,4284,27136
Arkansas,82518,48001,27079,1248,19266,408,34517,26887,741,6889
California,917932,344896,201570,8966,124804,9556,573036,230361,57173,285502
Colorado,126848,55851,32307,1525,21379,640,70997,38819,12999,19179
Connecticut,108002,38022,13581,910,22264,1267,69980,51718,2240,16022
Delaware,22745,9755,4801,114,4585,255,12990,11045,93,1852
District of Columbia,40682,5606,2278,315,2727,286,35076,23802,818,10456
Florida,464583,269206,149333,4203,112610,3060,195377,114794,11953,68630
Georgia,255178,136838,91932,3045,40939,922,118340,82346,14860,21134
Hawaii,40741,9661,3752,129,5498,282,31080,4960,15522,10598
Idaho,49729,21271,10931,570,8955,815,28458,22521,753,5184
Illinois,275365,145668,59075,2530,81485,2578,129697,83220,11424,35053
Indiana,178374,91389,41962,1967,46683,777,86985,72846,91,14048
Iowa,98558,43158,13064,1325,28369,400,55400,46412,31,8957
Kansas,86940,40973,18204,707,20370,1692,45967,30358,5754,9855
Kentucky,124909,66512,38346,1090,25822,1254,58397,40025,5020,13352
Louisiana,124123,77634,51241,1050,24180,1163,46489,32772,2707,11010
Maine,36454,15210,3360,355,10911,584,21244,15595,330,5319
Maryland,125505,58693,27040,1008,29252,1393,66812,46179,2464,18169
Massachusetts,245518,65338,17969,3261,42089,2019,180180,144820,357,35003
Michigan,221716,102773,54748,2179,44179,1667,118943,83931,90,34922
Minnesota,138293,56918,16672,1351,37952,943,81375,45260,0,36115
Mississippi,93671,52921,30745,758,20323,1095,40750,32502,2762,5486
Missouri,169014,86158,37079,2745,44059,2275,82856,55037,10097,17722
Montana,29304,13051,5774,807,6302,168,16253,8079,619,7555
Nebraska,49502,22557,8998,790,12679,90,26945,20831,219,5895
Nevada,36954,26066,19575,723,5357,411,10888,4215,724,5949
New Hampshire,42735,14282,4395,415,9363,109,28453,22883,0,5570
New Jersey,180375,84517,36851,1337,43373,2956,95858,65650,1077,29131
New Mexico,42850,22109,14807,752,6176,374,20741,9436,2831,8474
New York,608783,186286,62707,5113,111115,7351,422497,226149,5649,190699
North Carolina,285522,112229,59099,2119,48719,2292,173293,109150,36715,27428
North Dakota,26250,10628,2571,172,7785,100,15622,11282,739,3601
Ohio,299628,155645,67080,2398,85112,1055,143983,111646,330,32007
Oklahoma,117304,64747,38455,1260,23752,1280,52557,35150,6665,10742
Oregon,96930,37498,20434,1486,14441,1137,59432,25364,145,33923
Pennsylvania,404096,179572,81297,4476,90797,3002,224524,176483,57,47984
Puerto Rico,37509,24907,11192,685,11518,1512,12602,2104,243,10255
Rhode Island,45755,12717,3082,341,9133,161,33038,25919,1219,5900
South Carolina,138603,56578,31693,1537,22638,710,82025,51443,17441,13141
South Dakota,32153,15744,6709,598,8107,330,16409,8979,857,6573
Tennessee,156422,84053,47728,2088,32882,1355,72369,55024,1413,15932
Texas,606045,363370,248764,7645,102213,4748,242675,147089,34376,61210
Utah,55465,20782,10680,2350,7358,394,34683,23887,412,10384
Vermont,24901,5044,1219,166,3608,51,19857,16195,0,3662
Virginia,236646,96832,57014,2038,36195,1585,139814,92450,29880,17484
Washington,160207,55485,26677,1532,25856,1420,104722,41091,16811,46820
West Virginia,52067,31305,19669,829,10456,351,20762,17006,0,3756
Wisconsin,151299,65540,32853,1183,30617,887,85759,60123,119,25517
Wyoming,13328,6583,3352,342,2723,166,6745,4457,596,1692
