,Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,PrimeAge,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over,Male,Female,Sex ratio (males per 100 females),65 years and over,Male,Female,Sex ratio (males per 100 females),RACE,Total population,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Cherokee tribal grouping,Chippewa tribal grouping,Navajo tribal grouping,Sioux tribal grouping,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Native Hawaiian,Chamorro,Samoan,Other Pacific Islander,Some other race,Two or more races,White and Black or African American,White and American Indian and Alaska Native,White and Asian,Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,Two races excluding Some other race and Three or more races,Total housing units,CITIZEN VOTING AGE POPULATION,Citizen 18 and over population,Male,Female
Alabama,4997675.00,2429703.00,2567972.00,94.6,295632.00,301814.00,329794.00,329732.00,326900,647247,615110,633931,337355,335733,4153248,511902.00,248809.00,83716.00,39.3,1122381.00,4005499.00,3875294.00,3666945.00,1042368.00,844427.00,3875294.00,1855656.00,2019638.00,91.9,844427.00,372139.00,472288.00,78.8,,4997675.00,4842360.00,155315.00,4842360.00,3338590.00,1324233.00,21661.00,6646.00,204,149,253,70161.00,13689.00,14040.00,6362.00,2891.00,12815.00,10609.00,9755.00,1702.00,854,374,113,361,86013.00,155315.00,39236.00,34892.00,16138.00,5378.00,,4997675.00,3479535.00,1381411.00,68630.00,93041.00,5832.00,135130.00,,4997675.00,224659.00,131817.00,23911.00,6998.00,61933.00,4773016.00,3241003.00,1316314.00,17417.00,69331.00,1594.00,12504.00,114853.00,12446.00,102407.00,2278526.00,,3782980.00,1806826.00,1976154.00
Alaska,735951.00,384749.00,351202.00,109.6,50791.00,53270.00,49647.00,47081.00,50780,116525,96664,87719,47145,46141,645763,61465.00,22095.00,6628.00,35.0,182734.00,572165.00,553217.00,525539.00,116581.00,90188.00,553217.00,290943.00,262274.00,110.9,90188.00,45027.00,45161.00,99.7,,735951.00,662005.00,73946.00,662005.00,458520.00,23721.00,107531.00,976,492,89,315,47213.00,870,2805.00,25945.00,1377.00,4731.00,861,10624.00,10766.00,1325.00,454,6721.00,2266.00,14254.00,73946.00,6997.00,31419.00,10054.00,1771.00,,735951.00,525009.00,37173.00,148918.00,64667.00,16413.00,25853.00,,735951.00,53604.00,27834.00,7739.00,2088.00,15943.00,682347.00,434515.00,22787.00,104399.00,46455.00,10500.00,3589.00,60102.00,3352.00,56750.00,324434.00,,532632.00,281085.00,251547.00
Arizona,7079203.00,3533895.00,3545308.00,99.7,412606.00,440221.00,480043.00,476470.00,477856,966670,882914,838963,432889,426712,5835344,731373.00,379268.00,133218.00,38.1,1614435.00,5650624.00,5464768.00,5171978.00,1495201.00,1243859.00,5464768.00,2709492.00,2755276.00,98.3,1243859.00,576938.00,666921.00,86.5,,7079203.00,6344182.00,735021.00,6344182.00,4985729.00,318827.00,300862.00,2934.00,692,143191.00,1736.00,234495.00,63725.00,44385.00,43273.00,10253.00,14872.00,27068.00,30919.00,13979.00,4402.00,2767.00,1609.00,5201.00,490290.00,735021.00,71036.00,70844.00,64049.00,7691.00,,7079203.00,5675246.00,431870.00,413837.00,330068.00,33431.00,975548.00,,7079203.00,2257429.00,1962216.00,51651.00,18063.00,225499.00,4821774.00,3781665.00,299877.00,256947.00,228292.00,12623.00,18441.00,223929.00,25540.00,198389.00,3056890.00,,5000102.00,2476974.00,2523128.00
Arkansas,3006309.00,1483520.00,1522789.00,97.4,184580.00,195648.00,203248.00,203530.00,198013,388499,376431,364713,196544,189742,2500948,300307.00,150237.00,54817.00,38.3,705785.00,2382255.00,2300524.00,2175436.00,614919.00,505361.00,2300524.00,1120875.00,1179649.00,95.0,505361.00,226725.00,278636.00,81.4,,3006309.00,2847206.00,159103.00,2847206.00,2227020.00,458086.00,17459.00,6086.00,63,261,89,46388.00,11521.00,6063.00,4758.00,1153.00,2631.00,6239.00,14023.00,10627.00,477,113,599,9438.00,87626.00,159103.00,26533.00,39530.00,10595.00,2801.00,,3006309.00,2378184.00,494417.00,64805.00,61601.00,13594.00,160097.00,,3006309.00,236001.00,168601.00,8302.00,2755.00,56343.00,2770308.00,2123715.00,455748.00,13665.00,45575.00,10408.00,6267.00,114930.00,33201.00,81729.00,1361880.00,,2211566.00,1072583.00,1138983.00
California,39455353.00,19714044.00,19741309.00,99.9,2350335.00,2434113.00,2658361.00,2588625.00,2626849,5941622,5341049,5043403,2502174,2298943,33785474,3363447.00,1581471.00,724961.00,37.0,8992432.00,31499704.00,30462921.00,28890148.00,6993526.00,5669879.00,30462921.00,15109534.00,15353387.00,98.4,5669879.00,2549526.00,3120353.00,81.7,,39455353.00,35220136.00,4235217.00,35220136.00,20553732.00,2233258.00,360607.00,14026.00,2448.00,9607.00,3136.00,5887396.00,829193.00,1616619.00,1288497.00,260003.00,471071.00,671401.00,750612.00,148278.00,23863.00,21545.00,35980.00,66890.00,6036865.00,4235217.00,307416.00,291815.00,626493.00,34944.00,,39455353.00,24407973.00,2827328.00,920261.00,6847247.00,333632.00,8703265.00,,39455353.00,15593787.00,12745942.00,230981.00,108567.00,2508297.00,23861566.00,14109297.00,2128184.00,124341.00,5802086.00,134692.00,149096.00,1413870.00,146794.00,1267076.00,14328539.00,,25916215.00,12796956.00,13119259.00
Colorado,5723176.00,2895936.00,2827240.00,102.4,324246.00,347653.00,370266.00,369984.00,373987,889933,805249,712196,365606,344802,4903922,518368.00,212622.00,88264.00,37.1,1262735.00,4606399.00,4460441.00,4237142.00,1019076.00,819254.00,4460441.00,2248684.00,2211757.00,101.7,819254.00,379264.00,439990.00,86.2,,5723176.00,5245106.00,478070.00,5245106.00,4507448.00,234065.00,53143.00,3416.00,733,8438.00,3234.00,183391.00,31077.00,35008.00,18438.00,10602.00,20396.00,27114.00,40756.00,8192.00,2573.00,2032.00,1096.00,2491.00,258867.00,478070.00,51239.00,58286.00,55997.00,4497.00,,5723176.00,4958578.00,315923.00,143399.00,259198.00,22207.00,539195.00,,5723176.00,1254636.00,905922.00,37631.00,13393.00,297690.00,4468540.00,3821828.00,222572.00,26070.00,180192.00,7357.00,18010.00,192511.00,32189.00,160322.00,2454873.00,,4194478.00,2108677.00,2085801.00
Connecticut,3605330.00,1768860.00,1836470.00,96.3,182122.00,196540.00,224371.00,245790.00,241370,445861,439098,488283,269688,252028,2985151,357409.00,173149.00,89621.00,41.0,744491.00,2954661.00,2860839.00,2705628.00,765033.00,620179.00,2860839.00,1387946.00,1472893.00,94.2,620179.00,273903.00,346276.00,79.1,,3605330.00,3378063.00,227267.00,3378063.00,2595884.00,389290.00,8714.00,503,68,105,40,167308.00,63667.00,39124.00,12836.00,3497.00,10294.00,10162.00,27728.00,1262.00,359,190,270,443,215605.00,227267.00,47610.00,13318.00,23948.00,4595.00,,3605330.00,2796534.00,471249.00,38241.00,201210.00,6454.00,339032.00,,3605330.00,610065.00,63513.00,298272.00,14015.00,234265.00,2995265.00,2340848.00,359156.00,4225.00,165872.00,761,18819.00,105584.00,23005.00,82579.00,1527039.00,,2638024.00,1273727.00,1364297.00
Delaware,981892.00,477219.00,504673.00,94.6,54234.00,56481.00,60792.00,61884.00,57883,127878,115773,121235,69719,69638,795517,113956.00,53708.00,18711.00,41.1,207645.00,798798.00,774247.00,734748.00,228241.00,186375.00,774247.00,371708.00,402539.00,92.3,186375.00,84006.00,102369.00,82.1,,981892.00,932380.00,49512.00,932380.00,645409.00,215745.00,3064.00,286,17,0,13,39684.00,16888.00,8955.00,4320.00,811,2213.00,2135.00,4362.00,383,65,71,86,161,28095.00,49512.00,16131.00,3566.00,4420.00,1883.00,,981892.00,687652.00,241074.00,10981.00,47423.00,1516.00,46928.00,,981892.00,95278.00,35568.00,28396.00,1252.00,30062.00,886614.00,597040.00,211387.00,2084.00,39398.00,299,3662.00,32744.00,3397.00,29347.00,445104.00,,733786.00,351139.00,382647.00
Florida,21339762.00,10489548.00,10850214.00,96.7,1118794.00,1147901.00,1252281.00,1227017.00,1244479,2742442,2626930,2735230,1481932,1415791,16992797,2442673.00,1359110.00,545182.00,42.3,4261313.00,17577024.00,17078449.00,16343644.00,5171900.00,4346965.00,17078449.00,8311172.00,8767277.00,94.8,4346965.00,1976902.00,2370063.00,83.4,,21339762.00,19338037.00,2001725.00,19338037.00,14449017.00,3358469.00,54466.00,6576.00,1187.00,641,642,596862.00,175398.00,104622.00,108338.00,15580.00,26215.00,85179.00,81530.00,13065.00,2976.00,2834.00,1413.00,5842.00,866158.00,2001725.00,244135.00,89438.00,112808.00,13747.00,,21339762.00,16318319.00,3774605.00,206539.00,782929.00,41423.00,2325691.00,,21339762.00,5593090.00,724282.00,1186681.00,1534465.00,2147662.00,15746672.00,11217187.00,3223893.00,31002.00,585096.00,10749.00,102728.00,576017.00,120318.00,455699.00,9764897.00,,15394161.00,7450989.00,7943172.00
Georgia,10625615.00,5191616.00,5433999.00,95.5,643718.00,686126.00,754667.00,752682.00,712566,1461985,1408856,1410815,691536,622832,9145783,924763.00,408963.00,146106.00,37.1,2532197.00,8385039.00,8093418.00,7638305.00,1838668.00,1479832.00,8093418.00,3898631.00,4194787.00,92.9,1479832.00,650976.00,828856.00,78.5,,10625615.00,10110712.00,514903.00,10110712.00,5934931.00,3350903.00,34928.00,4113.00,430,208,314,448181.00,159731.00,62474.00,26945.00,9429.00,60124.00,61474.00,68004.00,6894.00,1900.00,2240.00,669,2085.00,334875.00,514903.00,121105.00,46819.00,51986.00,14059.00,,10625615.00,6377771.00,3552354.00,127492.00,534717.00,20632.00,571219.00,,10625615.00,1048474.00,567527.00,114013.00,37752.00,329182.00,9577141.00,5462673.00,3309398.00,13866.00,444677.00,5254.00,44958.00,296315.00,37953.00,258362.00,4375039.00,,7568124.00,3622153.00,3945971.00
Hawaii,1453498.00,732172.00,721326.00,101.5,87767.00,86980.00,88005.00,79517.00,90807,202540,188445,175158,92283,93207,1184709,155654.00,73914.00,39221.00,39.6,311020.00,1174511.00,1142478.00,1095872.00,324039.00,268789.00,1142478.00,571772.00,570706.00,100.2,268789.00,123186.00,145603.00,84.6,,1453498.00,1098484.00,355014.00,1098484.00,344295.00,28142.00,4286.00,566,40,387,50,544643.00,2448.00,57489.00,213048.00,173351.00,25632.00,11741.00,60934.00,153485.00,93745.00,2828.00,13982.00,42930.00,23633.00,355014.00,6859.00,8506.00,77776.00,1113.00,,1453498.00,615223.00,53159.00,34910.00,818123.00,382273.00,57997.00,,1453498.00,158741.00,51074.00,53050.00,1919.00,52698.00,1294757.00,310216.00,26521.00,2326.00,534056.00,142973.00,3230.00,275435.00,3662.00,271773.00,556937.00,,1045232.00,530534.00,514698.00
Idaho,1811617.00,912529.00,899088.00,101.5,114969.00,126381.00,136714.00,130056.00,118300,235303,233188,207825,111218,110565,1524519,178019.00,80285.00,28794.00,36.8,458830.00,1405245.00,1352787.00,1279063.00,352908.00,287098.00,1352787.00,677402.00,675385.00,100.3,287098.00,136928.00,150170.00,91.2,,1811617.00,1708307.00,103310.00,1708307.00,1567799.00,12242.00,22799.00,1287.00,513,990,779,24616.00,3258.00,5524.00,3836.00,2533.00,1561.00,1998.00,5906.00,3016.00,1198.00,570,245,1003.00,77835.00,103310.00,8130.00,19401.00,15188.00,176,,1811617.00,1667757.00,22668.00,47870.00,44783.00,7831.00,130858.00,,1811617.00,234561.00,194331.00,6356.00,1250.00,32624.00,1577056.00,1459942.00,11392.00,17174.00,23902.00,2519.00,6507.00,55620.00,11458.00,44162.00,742145.00,,1298422.00,648587.00,649835.00
Illinois,12821813.00,6332176.00,6489637.00,97.6,745681.00,781334.00,846355.00,850104.00,833461,1751542,1676721,1640483,869497,813900,10809078,1190287.00,567251.00,255197.00,38.5,2887351.00,10275978.00,9934462.00,9431413.00,2479935.00,2012735.00,9934462.00,4856976.00,5077486.00,95.7,2012735.00,890219.00,1122516.00,79.3,,12821813.00,12072713.00,749100.00,12072713.00,8699413.00,1804013.00,42714.00,2156.00,843,495,269,725482.00,252931.00,134875.00,128259.00,17174.00,58909.00,31821.00,101513.00,5111.00,2160.00,587,817,1547.00,795980.00,749100.00,117431.00,47878.00,90306.00,8601.00,,12821813.00,9393994.00,1979083.00,130460.00,847986.00,16337.00,1246150.00,,12821813.00,2250076.00,1753117.00,204867.00,28637.00,263455.00,10571737.00,7721282.00,1773138.00,10358.00,718559.00,3048.00,34562.00,310790.00,42791.00,267999.00,5412995.00,,9133896.00,4441729.00,4692167.00
Indiana,6751340.00,3344360.00,3406980.00,98.2,415542.00,435910.00,462360.00,471419.00,464895,878932,843453,838946,450414,431922,5693793,636561.00,293573.00,127413.00,37.9,1592087.00,5343229.00,5159253.00,4868669.00,1308002.00,1057547.00,5159253.00,2528944.00,2630309.00,96.1,1057547.00,472493.00,585054.00,80.8,,6751340.00,6463387.00,287953.00,6463387.00,5483296.00,635076.00,11399.00,2250.00,233,184,186,163657.00,46292.00,32937.00,15092.00,6023.00,10583.00,9411.00,43319.00,2276.00,740,335,231,970,167683.00,287953.00,92316.00,35534.00,29416.00,3198.00,,6751340.00,5753102.00,749882.00,59943.00,203251.00,7964.00,280827.00,,6751340.00,494408.00,348747.00,47024.00,6631.00,92006.00,6256932.00,5255601.00,625756.00,6863.00,162123.00,1982.00,19449.00,185158.00,20447.00,164711.00,2911562.00,,4964971.00,2425134.00,2539837.00
Iowa,3179090.00,1590001.00,1589089.00,100.1,194570.00,204850.00,215162.00,219617.00,225007,394731,392662,371831,210808,209310,2638548,313218.00,153189.00,74135.00,38.3,742175.00,2523649.00,2436915.00,2294157.00,662164.00,540542.00,2436915.00,1210444.00,1226471.00,98.7,540542.00,245458.00,295084.00,83.2,,3179090.00,3055325.00,123765.00,3055325.00,2795319.00,119036.00,10889.00,481,201,188,1490.00,79188.00,15657.00,12293.00,5610.00,1223.00,6593.00,10538.00,27274.00,4182.00,484,400,191,3107.00,46711.00,123765.00,34765.00,15028.00,15834.00,1584.00,,3179090.00,2912885.00,162585.00,32815.00,100176.00,6994.00,94966.00,,3179090.00,203048.00,153450.00,8968.00,2890.00,37740.00,2976042.00,2681793.00,116206.00,7337.00,78532.00,3920.00,5069.00,83185.00,12570.00,70615.00,1407100.00,,2348191.00,1161896.00,1186295.00
Kansas,2932099.00,1468152.00,1463947.00,100.3,185276.00,202756.00,204148.00,206145.00,211823,377981,366623,337255,187614,188450,2468071,273373.00,128191.00,62464.00,37.0,714151.00,2299477.00,2217948.00,2088839.00,575027.00,464028.00,2217948.00,1101605.00,1116343.00,98.7,464028.00,210512.00,253516.00,83.0,,2932099.00,2752643.00,179456.00,2752643.00,2386766.00,165291.00,21657.00,4091.00,138,710,832,87946.00,20172.00,14230.00,6272.00,2147.00,5274.00,15419.00,24432.00,2196.00,296,336,341,1223.00,88787.00,179456.00,41231.00,33594.00,17521.00,3221.00,,2932099.00,2556974.00,220038.00,67761.00,112323.00,6372.00,161254.00,,2932099.00,362053.00,292037.00,14402.00,4189.00,51425.00,2570046.00,2192497.00,159382.00,15363.00,86670.00,1784.00,6941.00,107409.00,9899.00,97510.00,1272290.00,,2110053.00,1045472.00,1064581.00
